timestamp,sensor_name,value
2024-03-07 12:24:53.012460,Value,2.79
2024-03-07 12:24:53.028467,Pressure,22.56
2024-03-07 12:24:53.043397,sensor1,95.4
2024-03-07 12:24:53.044400,battery,36.8
2024-03-07 12:24:53.045402,Temp,2.31
2024-03-07 12:24:53.046400,Battery,3.73
2024-03-07 12:25:03.063471,Value,57.75
2024-03-07 12:25:03.079507,Pressure,36.64
2024-03-07 12:25:03.080516,sensor1,84.31
2024-03-07 12:25:03.094538,battery,79.02
2024-03-07 12:25:03.110091,Temp,3.46
2024-03-07 12:25:03.125641,Battery,3.95
2024-03-07 12:25:13.142581,Value,11.09
2024-03-07 12:25:13.158349,Pressure,24.76
2024-03-07 12:25:13.174016,sensor1,77.29
2024-03-07 12:25:13.175014,battery,16.33
2024-03-07 12:25:13.176015,Temp,4.76
2024-03-07 12:25:13.189564,Battery,3.95
2024-03-07 12:25:23.212877,Value,92.61
2024-03-07 12:25:23.213875,Pressure,66.48
2024-03-07 12:25:23.228076,sensor1,29.15
2024-03-07 12:25:23.243472,battery,72.32
2024-03-07 12:25:23.259277,Temp,4.21
2024-03-07 12:25:23.260277,Battery,4.24
2024-03-07 12:25:33.261089,Value,55.95
2024-03-07 12:25:33.280141,Pressure,3.32
2024-03-07 12:25:33.281139,sensor1,63.61
2024-03-07 12:25:33.282140,battery,8.39
2024-03-07 12:25:33.283140,Temp,4.22
2024-03-07 12:25:33.283140,Battery,4.6
2024-03-07 12:25:43.299747,Value,29.36
2024-03-07 12:25:43.314882,Pressure,17.94
2024-03-07 12:25:43.329981,sensor1,39.97
2024-03-07 12:25:43.330981,battery,65.48
2024-03-07 12:25:43.346449,Temp,4.31
2024-03-07 12:25:43.361930,Battery,2.92
2024-03-07 12:25:53.378027,Value,95.59
2024-03-07 12:25:53.394033,Pressure,38.04
2024-03-07 12:25:53.409572,sensor1,69.95
2024-03-07 12:25:53.424587,battery,25.96
2024-03-07 12:25:53.439717,Temp,2.67
2024-03-07 12:25:53.440713,Battery,2.18
2024-03-07 12:26:03.456039,Value,19.06
2024-03-07 12:26:03.470777,Pressure,11.67
2024-03-07 12:26:03.472778,sensor1,21.59
2024-03-07 12:26:03.472778,battery,49.54
2024-03-07 12:26:03.473777,Temp,4.17
2024-03-07 12:26:03.486295,Battery,3.58
