timestamp,sensor_name,value
2024-05-16 14:33:01.062547,Pressure,36.26
2024-05-16 14:33:01.079617,Temperature,4.63
2024-05-16 14:33:11.112679,Pressure,97.64
2024-05-16 14:33:11.112679,Temperature,2.25
2024-05-16 14:33:21.135856,Pressure,74.93
2024-05-16 14:33:21.136863,Temperature,4.46
2024-05-16 14:33:31.163682,Pressure,93.03
2024-05-16 14:33:31.180493,Temperature,3.84
2024-05-16 14:33:41.197188,Pressure,6.14
2024-05-16 14:33:41.210369,Temperature,2.93
2024-05-16 14:33:51.213665,Pressure,25.51
2024-05-16 14:33:51.233694,Temperature,3.64
2024-05-16 14:34:01.263137,Pressure,25.71
2024-05-16 14:34:01.264135,Temperature,4.0
2024-05-16 14:34:11.293440,Pressure,40.93
2024-05-16 14:34:11.308978,Temperature,2.92
2024-05-16 14:34:21.334796,Pressure,0.85
2024-05-16 14:34:21.350826,Temperature,3.14
2024-05-16 14:34:31.392242,Pressure,96.4
2024-05-16 14:34:31.406875,Temperature,4.05
2024-05-16 14:34:41.440384,Pressure,80.74
2024-05-16 14:34:41.455910,Temperature,3.1
2024-05-16 14:34:51.487714,Pressure,0.93
2024-05-16 14:34:51.502744,Temperature,2.77
2024-05-16 14:35:01.542402,Pressure,84.97
2024-05-16 14:35:01.543403,Temperature,4.75
2024-05-16 14:35:11.584836,Pressure,89.28
2024-05-16 14:35:11.600352,Temperature,3.8
2024-05-16 14:35:21.632693,Pressure,81.97
2024-05-16 14:35:21.648227,Temperature,3.57
2024-05-16 14:35:31.688736,Pressure,29.94
2024-05-16 14:35:31.704245,Temperature,3.76
2024-05-16 14:35:41.739036,Pressure,83.47
2024-05-16 14:35:41.754122,Temperature,3.09
2024-05-16 14:35:51.792354,Pressure,25.35
2024-05-16 14:35:51.807951,Temperature,3.35
2024-05-16 14:36:01.848979,Pressure,1.1
2024-05-16 14:36:01.865005,Temperature,4.1
2024-05-16 14:36:11.898831,Pressure,74.91
2024-05-16 14:36:11.913968,Temperature,4.48
2024-05-16 14:36:21.943877,Pressure,75.99
2024-05-16 14:36:21.959004,Temperature,3.54
2024-05-16 14:36:31.989778,Pressure,17.87
2024-05-16 14:36:31.989778,Temperature,4.83
2024-05-16 14:36:42.032221,Pressure,41.63
2024-05-16 14:36:42.033729,Temperature,4.57
2024-05-16 14:36:52.071457,Pressure,34.86
2024-05-16 14:36:52.072456,Temperature,4.44
2024-05-16 14:37:02.112556,Pressure,92.73
2024-05-16 14:37:02.127773,Temperature,2.37
2024-05-16 14:37:12.164753,Pressure,29.7
2024-05-16 14:37:12.180775,Temperature,3.86
2024-05-16 14:37:22.200681,Pressure,27.06
2024-05-16 14:37:22.201682,Temperature,2.84
2024-05-16 14:37:32.222186,Pressure,12.7
2024-05-16 14:37:32.223186,Temperature,4.57
2024-05-16 14:37:42.250356,Pressure,98.21
2024-05-16 14:37:42.266416,Temperature,4.57
2024-05-16 14:37:52.305123,Pressure,44.6
2024-05-16 14:37:52.306127,Temperature,2.57
2024-05-16 14:38:02.343020,Pressure,80.56
2024-05-16 14:38:02.359731,Temperature,4.12
2024-05-16 14:38:12.388011,Pressure,34.58
2024-05-16 14:38:12.403040,Temperature,3.82
2024-05-16 14:38:22.428757,Pressure,60.97
2024-05-16 14:38:22.429757,Temperature,3.97
2024-05-16 14:38:32.465523,Pressure,65.69
2024-05-16 14:38:32.480542,Temperature,4.63
2024-05-16 14:38:42.519037,Pressure,3.13
2024-05-16 14:38:42.520040,Temperature,4.43
2024-05-16 14:38:52.554157,Pressure,62.93
2024-05-16 14:38:52.556159,Temperature,3.09
2024-05-16 14:39:02.588769,Pressure,6.97
2024-05-16 14:39:02.589771,Temperature,3.43
2024-05-16 14:39:12.619466,Pressure,44.54
2024-05-16 14:39:12.620470,Temperature,3.02
2024-05-16 14:39:22.647688,Pressure,67.2
2024-05-16 14:39:22.662776,Temperature,2.61
2024-05-16 14:39:32.693437,Pressure,11.22
2024-05-16 14:39:32.709463,Temperature,4.38
2024-05-16 14:39:42.742553,Pressure,39.12
2024-05-16 14:39:42.758337,Temperature,2.2
2024-05-16 14:39:52.788738,Pressure,43.41
2024-05-16 14:39:52.804277,Temperature,3.27
2024-05-16 14:40:02.832138,Pressure,30.85
2024-05-16 14:40:02.848241,Temperature,2.2
2024-05-16 14:40:12.877424,Pressure,14.4
2024-05-16 14:40:12.892891,Temperature,2.09
2024-05-16 14:40:22.921836,Pressure,32.8
2024-05-16 14:40:22.922846,Temperature,4.05
2024-05-16 14:40:32.961548,Pressure,87.7
2024-05-16 14:40:32.977549,Temperature,3.7
2024-05-16 14:40:43.011546,Pressure,37.87
2024-05-16 14:40:43.027546,Temperature,2.81
2024-05-16 14:40:53.045042,Pressure,14.69
2024-05-16 14:40:53.059048,Temperature,3.29
2024-05-16 14:41:03.096699,Pressure,37.13
2024-05-16 14:41:03.112718,Temperature,2.63
2024-05-16 14:41:13.143529,Pressure,73.56
2024-05-16 14:41:13.159528,Temperature,3.42
2024-05-16 14:41:23.190448,Pressure,81.84
2024-05-16 14:41:23.206433,Temperature,2.99
2024-05-16 14:41:33.209185,Pressure,7.28
2024-05-16 14:41:33.227693,Temperature,2.9
2024-05-16 14:41:43.258928,Pressure,14.08
2024-05-16 14:41:43.274928,Temperature,2.81
