timestamp,sensor_name,value
2024-05-16 14:30:00.242205,Pressure,"{'Temp': {'value': 4.88, 'unit': '°C', 'icon': 'sun_max'}, 'Humidity': {'value': 0, 'unit': '%', 'icon': 'chart_bar_fill'}, 'Pressure': {'value': 44.02, 'unit': 'hPa', 'icon': 'tornado'}, 'sensor1': {'value': 0, 'unit': 'NaN', 'icon': 'burn'}, 'sensor3': {'value': 0, 'unit': 'Danon', 'icon': 'burn'}, 'Battery': {'value': 0, 'unit': 'V', 'icon': 'bolt_horizontal_fill'}, 'battery': {'value': 0, 'unit': '%', 'icon': 'battery_25'}}"
2024-05-16 14:30:00.244207,Temp,"{'Temp': {'value': 4.88, 'unit': '°C', 'icon': 'sun_max'}, 'Humidity': {'value': 0, 'unit': '%', 'icon': 'chart_bar_fill'}, 'Pressure': {'value': 44.02, 'unit': 'hPa', 'icon': 'tornado'}, 'sensor1': {'value': 0, 'unit': 'NaN', 'icon': 'burn'}, 'sensor3': {'value': 0, 'unit': 'Danon', 'icon': 'burn'}, 'Battery': {'value': 0, 'unit': 'V', 'icon': 'bolt_horizontal_fill'}, 'battery': {'value': 0, 'unit': '%', 'icon': 'battery_25'}}"
2024-05-16 14:30:10.280753,Pressure,"{'Temp': {'value': 4.88, 'unit': '°C', 'icon': 'sun_max'}, 'Humidity': {'value': 0, 'unit': '%', 'icon': 'chart_bar_fill'}, 'Pressure': {'value': 44.02, 'unit': 'hPa', 'icon': 'tornado'}, 'sensor1': {'value': 0, 'unit': 'NaN', 'icon': 'burn'}, 'sensor3': {'value': 0, 'unit': 'Danon', 'icon': 'burn'}, 'Battery': {'value': 0, 'unit': 'V', 'icon': 'bolt_horizontal_fill'}, 'battery': {'value': 0, 'unit': '%', 'icon': 'battery_25'}}"
2024-05-16 14:30:10.296826,Temp,"{'Temp': {'value': 4.88, 'unit': '°C', 'icon': 'sun_max'}, 'Humidity': {'value': 0, 'unit': '%', 'icon': 'chart_bar_fill'}, 'Pressure': {'value': 44.02, 'unit': 'hPa', 'icon': 'tornado'}, 'sensor1': {'value': 0, 'unit': 'NaN', 'icon': 'burn'}, 'sensor3': {'value': 0, 'unit': 'Danon', 'icon': 'burn'}, 'Battery': {'value': 0, 'unit': 'V', 'icon': 'bolt_horizontal_fill'}, 'battery': {'value': 0, 'unit': '%', 'icon': 'battery_25'}}"
2024-05-16 14:30:20.333011,Pressure,"{'Temp': {'value': 4.88, 'unit': '°C', 'icon': 'sun_max'}, 'Humidity': {'value': 0, 'unit': '%', 'icon': 'chart_bar_fill'}, 'Pressure': {'value': 44.02, 'unit': 'hPa', 'icon': 'tornado'}, 'sensor1': {'value': 0, 'unit': 'NaN', 'icon': 'burn'}, 'sensor3': {'value': 0, 'unit': 'Danon', 'icon': 'burn'}, 'Battery': {'value': 0, 'unit': 'V', 'icon': 'bolt_horizontal_fill'}, 'battery': {'value': 0, 'unit': '%', 'icon': 'battery_25'}}"
2024-05-16 14:30:20.348035,Temp,"{'Temp': {'value': 4.88, 'unit': '°C', 'icon': 'sun_max'}, 'Humidity': {'value': 0, 'unit': '%', 'icon': 'chart_bar_fill'}, 'Pressure': {'value': 44.02, 'unit': 'hPa', 'icon': 'tornado'}, 'sensor1': {'value': 0, 'unit': 'NaN', 'icon': 'burn'}, 'sensor3': {'value': 0, 'unit': 'Danon', 'icon': 'burn'}, 'Battery': {'value': 0, 'unit': 'V', 'icon': 'bolt_horizontal_fill'}, 'battery': {'value': 0, 'unit': '%', 'icon': 'battery_25'}}"
2024-05-16 14:30:30.376606,Pressure,"{'Temp': {'value': 4.88, 'unit': '°C', 'icon': 'sun_max'}, 'Humidity': {'value': 0, 'unit': '%', 'icon': 'chart_bar_fill'}, 'Pressure': {'value': 44.02, 'unit': 'hPa', 'icon': 'tornado'}, 'sensor1': {'value': 0, 'unit': 'NaN', 'icon': 'burn'}, 'sensor3': {'value': 0, 'unit': 'Danon', 'icon': 'burn'}, 'Battery': {'value': 0, 'unit': 'V', 'icon': 'bolt_horizontal_fill'}, 'battery': {'value': 0, 'unit': '%', 'icon': 'battery_25'}}"
2024-05-16 14:30:30.392077,Temp,"{'Temp': {'value': 4.88, 'unit': '°C', 'icon': 'sun_max'}, 'Humidity': {'value': 0, 'unit': '%', 'icon': 'chart_bar_fill'}, 'Pressure': {'value': 44.02, 'unit': 'hPa', 'icon': 'tornado'}, 'sensor1': {'value': 0, 'unit': 'NaN', 'icon': 'burn'}, 'sensor3': {'value': 0, 'unit': 'Danon', 'icon': 'burn'}, 'Battery': {'value': 0, 'unit': 'V', 'icon': 'bolt_horizontal_fill'}, 'battery': {'value': 0, 'unit': '%', 'icon': 'battery_25'}}"
2024-05-16 14:33:01.062547,Pressure,36.26
2024-05-16 14:33:01.079617,Temp,4.63
2024-05-16 14:33:11.112679,Pressure,97.64
2024-05-16 14:33:11.112679,Temp,2.25
2024-05-16 14:33:21.135856,Pressure,74.93
2024-05-16 14:33:21.136863,Temp,4.46
2024-05-16 14:33:31.163682,Pressure,93.03
2024-05-16 14:33:31.180493,Temp,3.84
2024-05-16 14:33:41.197188,Pressure,6.14
2024-05-16 14:33:41.210369,Temp,2.93
2024-05-16 14:33:51.213665,Pressure,25.51
2024-05-16 14:33:51.233694,Temp,3.64
2024-05-16 14:34:01.263137,Pressure,25.71
2024-05-16 14:34:01.264135,Temp,4.0
2024-05-16 14:34:11.293440,Pressure,40.93
2024-05-16 14:34:11.308978,Temp,2.92
2024-05-16 14:34:21.334796,Pressure,0.85
2024-05-16 14:34:21.350826,Temp,3.14
2024-05-16 14:34:31.392242,Pressure,96.4
2024-05-16 14:34:31.406875,Temp,4.05
2024-05-16 14:34:41.440384,Pressure,80.74
2024-05-16 14:34:41.455910,Temp,3.1
2024-05-16 14:34:51.487714,Pressure,0.93
2024-05-16 14:34:51.502744,Temp,2.77
2024-05-16 14:35:01.542402,Pressure,84.97
2024-05-16 14:35:01.543403,Temp,4.75
2024-05-16 14:35:11.584836,Pressure,89.28
2024-05-16 14:35:11.600352,Temp,3.8
2024-05-16 14:35:21.632693,Pressure,81.97
2024-05-16 14:35:21.648227,Temp,3.57
2024-05-16 14:35:31.688736,Pressure,29.94
2024-05-16 14:35:31.704245,Temp,3.76
2024-05-16 14:35:41.739036,Pressure,83.47
2024-05-16 14:35:41.754122,Temp,3.09
2024-05-16 14:35:51.792354,Pressure,25.35
2024-05-16 14:35:51.807951,Temp,3.35
2024-05-16 14:36:01.848979,Pressure,1.1
2024-05-16 14:36:01.865005,Temp,4.1
2024-05-16 14:36:11.898831,Pressure,74.91
2024-05-16 14:36:11.913968,Temp,4.48
2024-05-16 14:36:21.943877,Pressure,75.99
2024-05-16 14:36:21.959004,Temp,3.54
2024-05-16 14:36:31.989778,Pressure,17.87
2024-05-16 14:36:31.989778,Temp,4.83
2024-05-16 14:36:42.032221,Pressure,41.63
2024-05-16 14:36:42.033729,Temp,4.57
2024-05-16 14:36:52.071457,Pressure,34.86
2024-05-16 14:36:52.072456,Temp,4.44
2024-05-16 14:37:02.112556,Pressure,92.73
2024-05-16 14:37:02.127773,Temp,2.37
2024-05-16 14:37:12.164753,Pressure,29.7
2024-05-16 14:37:12.180775,Temp,3.86
2024-05-16 14:37:22.200681,Pressure,27.06
2024-05-16 14:37:22.201682,Temp,2.84
2024-05-16 14:37:32.222186,Pressure,12.7
2024-05-16 14:37:32.223186,Temp,4.57
2024-05-16 14:37:42.250356,Pressure,98.21
2024-05-16 14:37:42.266416,Temp,4.57
2024-05-16 14:37:52.305123,Pressure,44.6
2024-05-16 14:37:52.306127,Temp,2.57
2024-05-16 14:38:02.343020,Pressure,80.56
2024-05-16 14:38:02.359731,Temp,4.12
2024-05-16 14:38:12.388011,Pressure,34.58
2024-05-16 14:38:12.403040,Temp,3.82
2024-05-16 14:38:22.428757,Pressure,60.97
2024-05-16 14:38:22.429757,Temp,3.97
2024-05-16 14:38:32.465523,Pressure,65.69
2024-05-16 14:38:32.480542,Temp,4.63
2024-05-16 14:38:42.519037,Pressure,3.13
2024-05-16 14:38:42.520040,Temp,4.43
2024-05-16 14:38:52.554157,Pressure,62.93
2024-05-16 14:38:52.556159,Temp,3.09
2024-05-16 14:39:02.588769,Pressure,6.97
2024-05-16 14:39:02.589771,Temp,3.43
2024-05-16 14:39:12.619466,Pressure,44.54
2024-05-16 14:39:12.620470,Temp,3.02
2024-05-16 14:39:22.647688,Pressure,67.2
2024-05-16 14:39:22.662776,Temp,2.61
2024-05-16 14:39:32.693437,Pressure,11.22
2024-05-16 14:39:32.709463,Temp,4.38
2024-05-16 14:39:42.742553,Pressure,39.12
2024-05-16 14:39:42.758337,Temp,2.2
2024-05-16 14:39:52.788738,Pressure,43.41
2024-05-16 14:39:52.804277,Temp,3.27
2024-05-16 14:40:02.832138,Pressure,30.85
2024-05-16 14:40:02.848241,Temp,2.2
2024-05-16 14:40:12.877424,Pressure,14.4
2024-05-16 14:40:12.892891,Temp,2.09
2024-05-16 14:40:22.921836,Pressure,32.8
2024-05-16 14:40:22.922846,Temp,4.05
2024-05-16 14:40:32.961548,Pressure,87.7
2024-05-16 14:40:32.977549,Temp,3.7
2024-05-16 14:40:43.011546,Pressure,37.87
2024-05-16 14:40:43.027546,Temp,2.81
2024-05-16 14:40:53.045042,Pressure,14.69
2024-05-16 14:40:53.059048,Temp,3.29
2024-05-16 14:41:03.096699,Pressure,37.13
2024-05-16 14:41:03.112718,Temp,2.63
2024-05-16 14:41:13.143529,Pressure,73.56
2024-05-16 14:41:13.159528,Temp,3.42
2024-05-16 14:41:23.190448,Pressure,81.84
2024-05-16 14:41:23.206433,Temp,2.99
2024-05-16 14:41:33.209185,Pressure,7.28
2024-05-16 14:41:33.227693,Temp,2.9
2024-05-16 14:41:43.258928,Pressure,14.08
2024-05-16 14:41:43.274928,Temp,2.81
2024-05-16 14:41:53.310990,Pressure,36.43
2024-05-16 14:41:53.326995,Temp,4.73
2024-05-16 14:42:03.364291,Pressure,87.79
2024-05-16 14:42:03.380291,Temp,2.56
2024-05-16 14:42:13.401639,Pressure,92.55
2024-05-16 14:42:13.415636,Temp,3.72
2024-05-16 14:42:23.442412,Pressure,15.75
2024-05-16 14:42:23.443414,Temp,3.67
2024-05-16 14:42:33.471518,Pressure,7.97
2024-05-16 14:42:33.487054,Temp,3.22
2024-05-16 14:42:43.516657,Pressure,80.05
2024-05-16 14:42:43.532657,Temp,3.55
2024-05-16 14:42:53.569105,Pressure,5.23
2024-05-16 14:42:53.571106,Temp,3.1
2024-05-16 14:43:03.602812,Pressure,14.32
2024-05-16 14:43:03.603815,Temp,3.56
2024-05-16 14:43:13.631406,Pressure,53.94
2024-05-16 14:43:13.632412,Temp,4.73
2024-05-16 14:43:23.673699,Pressure,34.49
2024-05-16 14:43:23.688699,Temp,2.99
2024-05-16 14:43:33.726513,Pressure,81.53
2024-05-16 14:43:33.742021,Temp,2.09
2024-05-16 14:43:43.778746,Pressure,52.97
2024-05-16 14:43:43.778746,Temp,4.5
2024-05-16 14:43:53.806365,Pressure,8.57
2024-05-16 14:43:53.822365,Temp,2.05
2024-05-16 14:44:03.825995,Pressure,81.07
2024-05-16 14:44:03.838996,Temp,3.2
2024-05-16 14:44:13.866288,Pressure,12.54
2024-05-16 14:44:13.882287,Temp,4.3
2024-05-16 14:44:23.916971,Pressure,1.9
2024-05-16 14:44:23.932973,Temp,2.29
2024-05-16 14:44:33.962968,Pressure,92.52
2024-05-16 14:44:33.978968,Temp,3.7
2024-05-16 14:44:43.982132,Pressure,40.51
2024-05-16 14:44:43.983134,Temp,2.14
2024-05-16 14:44:53.996595,Pressure,93.41
2024-05-16 14:44:54.011596,Temp,4.78
2024-05-16 14:45:04.014513,Pressure,51.94
2024-05-16 14:45:04.015513,Temp,3.52
2024-05-16 14:45:14.045067,Pressure,50.19
2024-05-16 14:45:14.060585,Temp,2.51
2024-05-16 14:45:24.097591,Pressure,37.73
2024-05-16 14:45:24.098598,Temp,3.35
2024-05-16 14:45:34.102042,Pressure,86.55
2024-05-16 14:45:34.103043,Temp,3.58
2024-05-16 14:45:44.139228,Pressure,33.67
2024-05-16 14:45:44.154232,Temp,3.25
2024-05-16 14:45:54.179647,Pressure,74.56
2024-05-16 14:45:54.195648,Temp,2.69
2024-05-16 14:46:04.228958,Pressure,81.1
2024-05-16 14:46:04.244958,Temp,3.12
2024-05-16 14:46:14.248065,Pressure,21.45
2024-05-16 14:46:14.249065,Temp,4.77
2024-05-16 14:46:24.252458,Pressure,64.0
2024-05-16 14:46:24.252458,Temp,3.08
2024-05-16 14:46:34.272193,Pressure,78.24
2024-05-16 14:46:34.287701,Temp,4.98
2024-05-16 14:46:44.325611,Pressure,27.61
2024-05-16 14:46:44.341611,Temp,3.8
2024-05-16 14:46:54.360957,Pressure,77.85
2024-05-16 14:46:54.376962,Temp,4.58
2024-05-16 14:47:04.418334,Pressure,26.54
2024-05-16 14:47:04.434334,Temp,3.82
2024-05-16 14:47:14.461976,Pressure,76.9
2024-05-16 14:47:14.475976,Temp,2.74
2024-05-16 14:47:24.516705,Pressure,18.66
2024-05-16 14:47:24.532705,Temp,3.9
2024-05-16 14:47:34.551303,Pressure,54.29
2024-05-16 14:47:34.566300,Temp,2.59
2024-05-16 14:47:44.597871,Pressure,52.68
2024-05-16 14:47:44.598872,Temp,2.45
2024-05-16 14:47:54.602824,Pressure,44.98
2024-05-16 14:47:54.618823,Temp,2.63
2024-05-16 14:48:04.645505,Pressure,70.87
2024-05-16 14:48:04.658500,Temp,4.93
2024-05-16 14:48:14.687494,Pressure,54.95
2024-05-16 14:48:14.703006,Temp,4.51
2024-05-16 14:48:24.717359,Pressure,52.83
2024-05-16 14:48:24.718361,Temp,3.78
2024-05-16 14:48:34.759954,Pressure,61.97
2024-05-16 14:48:34.776960,Temp,4.62
2024-05-16 14:48:44.808405,Pressure,75.71
2024-05-16 14:48:44.824405,Temp,4.62
2024-05-16 14:48:54.854185,Pressure,10.52
2024-05-16 14:48:54.870185,Temp,3.58
2024-05-16 14:49:04.899831,Pressure,44.04
2024-05-16 14:49:04.915341,Temp,4.24
2024-05-16 14:49:14.947250,Pressure,60.91
2024-05-16 14:49:14.962250,Temp,2.22
2024-05-16 14:49:24.965878,Pressure,23.77
2024-05-16 14:49:24.983878,Temp,4.38
2024-05-16 14:49:34.986567,Pressure,16.18
2024-05-16 14:49:34.987571,Temp,2.5
2024-05-16 14:49:45.028670,Pressure,11.89
2024-05-16 14:49:45.044670,Temp,3.9
2024-05-16 14:49:55.067999,Pressure,29.58
2024-05-16 14:49:55.080993,Temp,4.51
2024-05-16 14:50:05.118803,Pressure,14.07
2024-05-16 14:50:05.119801,Temp,3.87
2024-05-16 14:50:15.159850,Pressure,68.48
2024-05-16 14:50:15.175849,Temp,4.22
2024-05-16 14:50:25.198378,Pressure,40.11
2024-05-16 14:50:25.214379,Temp,2.6
2024-05-16 14:50:35.242092,Pressure,68.22
2024-05-16 14:50:35.257097,Temp,3.98
2024-05-16 14:50:45.294144,Pressure,89.12
2024-05-16 14:50:45.295147,Temp,3.19
2024-05-16 14:50:55.325874,Pressure,77.72
2024-05-16 14:50:55.344385,Temp,3.6
2024-05-16 14:51:05.368107,Pressure,0.57
2024-05-16 14:51:05.384106,Temp,3.44
2024-05-16 14:51:15.422893,Pressure,17.17
2024-05-16 14:51:15.438897,Temp,2.03
2024-05-16 14:51:25.466475,Pressure,81.39
2024-05-16 14:51:25.482475,Temp,4.88
2024-05-16 14:51:35.516474,Pressure,82.22
2024-05-16 14:51:35.531473,Temp,3.11
2024-05-16 14:51:45.570552,Pressure,91.9
2024-05-16 14:51:45.585551,Temp,3.54
2024-05-16 14:51:55.617860,Pressure,77.76
2024-05-16 14:51:55.633861,Temp,2.07
2024-05-16 14:52:05.659270,Pressure,24.24
2024-05-16 14:52:05.675272,Temp,3.17
2024-05-16 14:52:15.702600,Pressure,39.35
2024-05-16 14:52:15.704597,Temp,2.46
2024-05-16 14:52:25.720011,Pressure,78.33
2024-05-16 14:52:25.736011,Temp,3.39
2024-05-16 14:52:35.761398,Pressure,71.51
2024-05-16 14:52:35.762403,Temp,3.8
2024-05-16 14:52:45.796872,Pressure,54.07
2024-05-16 14:52:45.797877,Temp,2.04
2024-05-16 14:52:55.826299,Pressure,56.48
2024-05-16 14:52:55.827294,Temp,4.96
2024-05-16 14:53:05.863405,Pressure,27.27
2024-05-16 14:53:05.864404,Temp,2.89
2024-05-16 14:53:15.886177,Pressure,23.2
2024-05-16 14:53:15.901178,Temp,2.85
2024-05-16 14:53:25.943700,Pressure,74.0
2024-05-16 14:53:25.944702,Temp,3.27
2024-05-16 14:53:35.948013,Pressure,6.47
2024-05-16 14:53:35.962011,Temp,2.17
2024-05-16 14:53:45.989677,Pressure,93.16
2024-05-16 14:53:46.005680,Temp,2.5
2024-05-16 14:53:56.026365,Pressure,69.97
2024-05-16 14:53:56.042361,Temp,3.78
2024-05-16 14:54:06.069727,Pressure,73.33
2024-05-16 14:54:06.085239,Temp,3.83
2024-05-16 14:54:16.119047,Pressure,32.67
2024-05-16 14:54:16.135047,Temp,4.57
2024-05-16 14:54:26.160702,Pressure,40.42
2024-05-16 14:54:26.175700,Temp,4.28
2024-05-16 14:54:36.208105,Pressure,71.58
2024-05-16 14:54:36.209111,Temp,4.05
2024-05-16 14:54:46.212161,Pressure,41.69
2024-05-16 14:54:46.232161,Temp,4.51
2024-05-16 14:54:56.265165,Pressure,93.65
2024-05-16 14:54:56.281162,Temp,2.17
2024-05-16 14:55:06.308300,Pressure,0.54
2024-05-16 14:55:06.324329,Temp,2.18
2024-05-16 14:55:16.355691,Pressure,51.61
2024-05-16 14:55:16.371694,Temp,4.24
2024-05-16 14:55:26.408269,Pressure,11.92
2024-05-16 14:55:26.423779,Temp,4.1
2024-05-16 14:55:36.465945,Pressure,68.21
2024-05-16 14:55:36.480946,Temp,4.77
2024-05-16 14:55:46.516418,Pressure,38.57
2024-05-16 14:55:46.532453,Temp,2.82
2024-05-16 14:55:56.572751,Pressure,65.06
2024-05-16 14:55:56.588751,Temp,4.29
2024-05-16 14:56:06.609416,Pressure,70.89
2024-05-16 14:56:06.625420,Temp,3.15
2024-05-16 14:56:16.655438,Pressure,63.4
2024-05-16 14:56:16.671438,Temp,3.33
2024-05-16 14:56:26.708810,Pressure,11.03
2024-05-16 14:56:26.723810,Temp,3.93
2024-05-16 14:56:36.762247,Pressure,64.25
2024-05-16 14:56:36.778247,Temp,4.63
2024-05-16 14:56:46.809000,Pressure,5.78
2024-05-16 14:56:46.824999,Temp,3.29
2024-05-16 14:56:56.854205,Pressure,1.38
2024-05-16 14:56:56.869715,Temp,3.96
2024-05-16 14:57:06.911151,Pressure,37.41
2024-05-16 14:57:06.926150,Temp,3.53
2024-05-16 14:57:16.947936,Pressure,89.16
2024-05-16 14:57:16.966207,Temp,4.57
2024-05-16 14:57:27.000478,Pressure,60.64
2024-05-16 14:57:27.016478,Temp,2.38
2024-05-16 14:57:37.036052,Pressure,2.42
2024-05-16 14:57:37.037054,Temp,3.58
2024-05-16 14:57:47.064377,Pressure,11.45
2024-05-16 14:57:47.079380,Temp,3.06
2024-05-16 14:57:57.107942,Pressure,1.92
2024-05-16 14:57:57.108943,Temp,4.24
2024-05-16 14:58:07.142942,Pressure,88.99
2024-05-16 14:58:07.158940,Temp,3.7
2024-05-16 14:58:17.198236,Pressure,56.66
2024-05-16 14:58:17.214271,Temp,5.0
2024-05-16 14:58:27.228458,Pressure,51.94
2024-05-16 14:58:27.243457,Temp,2.49
2024-05-16 14:58:37.264901,Pressure,68.19
2024-05-16 14:58:37.280902,Temp,4.51
2024-05-16 14:58:47.317572,Pressure,86.93
2024-05-16 14:58:47.333572,Temp,4.33
2024-05-16 14:58:57.349699,Pressure,91.22
2024-05-16 14:58:57.364207,Temp,3.29
2024-05-16 14:59:07.382810,Pressure,37.26
2024-05-16 14:59:07.398810,Temp,4.02
2024-05-16 14:59:17.428652,Pressure,59.21
2024-05-16 14:59:17.444651,Temp,4.57
2024-05-16 14:59:27.485403,Pressure,80.27
2024-05-16 14:59:27.501401,Temp,4.91
2024-05-16 14:59:37.514863,Pressure,56.59
2024-05-16 14:59:37.529866,Temp,2.51
2024-05-16 14:59:47.561584,Pressure,91.11
2024-05-16 14:59:47.576583,Temp,4.28
2024-05-16 14:59:57.619124,Pressure,41.42
2024-05-16 14:59:57.620120,Temp,3.78
2024-05-16 15:00:07.636723,Pressure,61.98
